case_id,split,class_label,class_id,record_id,chunk_id,chunk_file,start_sample,end_sample,start_sec,end_sec,source_db,pred_class,pred_label,pred_valid,class_mem_NSR,class_mem_CHF,class_mem_ARR,class_mem_AFF,beat_count,pnn_match_count,pnn_mismatch_count,dscr_flip_count,dscr_slope_count,ram_code_sum,ram_code_count,rdm_valid_count,rdm_code_sum,rdm_ge10_count,rdm_ge20_count,rdm_ge30_count,rdm_ge40_count,rdm_ge50_count,rdm_ge60_count,rdm_ge70_count,rdm_ge80_count,rdm_ge90_count,rdm_ge100_count,rdm_ge110_count,rdm_ge120_count,rdm_ge130_count,rdm_ge140_count,rdm_ge150_count,ectopic_pair_count,qrs_maf_valid_count,qrs_maf_count,qrs_maf_code_sum,qrs_width_abn_count,qrs_complex_abn_count,qrs_energy_abn_count,qrs_maf_width_sum,qrs_maf_complex_sum,qrs_maf_energy_sum,rbbb_delay_valid_count,rbbb_delay_wide_count,rbbb_delay_terminal_count,rbbb_delay_like_count,rbbb_delay_segment_count,rbbb_delay_applied_count,pre_qrs_bump_count,eerg_gate_count,eerg_applied_count,eerg_pre_qrs_bump_count,eerg_early_count,eerg_ecp_count,eerg_pnn_decision_count,eerg_pnn_mismatch_count,eerg_rdm_valid_count,eerg_rdm_code_sum,strong_event_count,adaptive_event_th,pnn_decision_count,pnn_mismatch_rate_bp,rdm_avg_code_q8,ram_avg_code_q8,qrs_maf_rate_bp,rbbb_like_rate_bp,abnormal_evidence_count,rhythm_irregular_evidence_count,morphology_evidence_count
402,train,NSR,0,19088,1016,train/NSR/19088/19088_w01016.mem,30482000,30511999,30482.000,30512.000,nsrdb,0,NSR,1,32992372,-105232106,-38958888,-87648128,38,35,1,52,535,245,35,36,150,35,31,27,16,12,7,5,5,4,3,1,1,1,1,1,0,38,0,0,0,0,0,1974,52,92,38,0,0,0,0,0,38,0,0,38,1,0,36,1,36,150,1654,5,36,277,1066,1792,0,0,13,13,0
404,train,NSR,0,19088,1171,train/NSR/19088/19088_w01171.mem,35132000,35161999,35132.000,35162.000,nsrdb,0,NSR,1,64183377,-91406903,-75604941,-97121943,41,39,0,65,426,273,39,39,68,28,15,11,6,5,2,1,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,1470,65,88,41,0,0,0,0,0,41,0,0,41,0,0,39,0,39,68,1150,10,39,0,446,1792,0,0,5,5,0
406,train,NSR,0,19088,1326,train/NSR/19088/19088_w01326.mem,39782000,39811999,39782.000,39812.000,nsrdb,0,NSR,1,64826444,-102213578,-64206877,-97244384,37,35,0,73,480,245,35,35,114,30,25,22,12,9,7,5,3,1,0,0,0,0,0,0,0,37,0,0,0,0,0,1688,73,77,37,0,0,0,0,0,37,0,0,37,0,0,35,0,35,114,1582,4,35,0,833,1792,0,0,9,9,0
408,train,NSR,0,19088,1497,train/NSR/19088/19088_w01497.mem,44912000,44941999,44912.000,44942.000,nsrdb,0,NSR,1,51501723,-101459911,-52069681,-97147911,37,34,1,49,280,238,34,35,151,30,27,22,19,13,10,8,6,4,4,3,2,1,1,1,1,37,0,0,0,0,0,1608,49,77,37,0,0,0,0,0,37,0,0,37,2,1,35,1,35,151,1486,4,35,285,1104,1792,0,0,15,15,0
410,train,NSR,0,19088,1652,train/NSR/19088/19088_w01652.mem,49562000,49591999,49562.000,49592.000,nsrdb,0,NSR,1,68491955,-100320621,-61800779,-105956682,36,33,0,31,150,231,33,34,59,23,17,11,4,3,1,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,1291,31,70,35,0,0,0,0,0,35,0,0,35,0,0,33,0,34,59,1119,8,33,0,444,1792,0,0,3,3,0
412,train,NSR,0,19088,1823,train/NSR/19088/19088_w01823.mem,54692000,54721999,54692.000,54722.000,nsrdb,1,CHF,1,-36676970,-18997912,-36839471,-107363973,33,31,0,0,51,185,31,31,90,26,22,18,9,6,5,2,1,1,0,0,0,0,0,0,0,33,0,0,0,0,0,1388,0,65,33,0,0,0,0,0,33,0,0,33,0,0,31,0,31,90,1310,4,31,0,743,1527,0,0,6,6,0
414,train,NSR,0,19088,1978,train/NSR/19088/19088_w01978.mem,59342000,59371999,59342.000,59372.000,nsrdb,2,ARR,1,-26819324,-34717897,-25996858,-112629809,32,30,0,0,51,199,30,30,54,22,15,8,4,2,1,1,1,0,0,0,0,0,0,0,0,32,0,0,0,0,0,1381,0,64,32,0,0,0,0,0,32,0,0,32,0,0,30,0,30,54,1294,4,30,0,460,1698,0,0,2,2,0
416,train,NSR,0,19088,2133,train/NSR/19088/19088_w02133.mem,63992000,64021999,63992.000,64022.000,nsrdb,1,CHF,1,-39348235,-16114064,-42068468,-101723989,33,31,0,0,2,184,31,31,132,27,25,23,18,14,11,7,4,3,0,0,0,0,0,0,0,33,0,0,0,0,0,1363,0,41,33,0,0,0,0,0,33,0,0,33,0,0,31,0,31,132,1224,4,31,0,1090,1519,0,0,14,14,0
418,train,NSR,0,19088,2304,train/NSR/19088/19088_w02304.mem,69122000,69151999,69122.000,69152.000,nsrdb,1,CHF,1,-32009147,-26362768,-39538099,-102919087,33,31,0,0,0,180,31,31,57,27,17,9,4,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,1379,0,33,33,0,0,0,0,0,33,0,0,33,0,0,31,0,31,57,1272,4,31,0,470,1486,0,0,0,0,0
420,train,NSR,0,19090,39,train/NSR/19090/19090_w00039.mem,1172000,1201999,1172.000,1202.000,nsrdb,0,NSR,1,30480563,-97449022,-47952004,-85031389,42,40,0,83,1244,381,40,40,60,31,16,9,3,1,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,1903,83,162,58,0,0,0,0,0,42,0,0,42,0,0,40,0,40,60,1448,12,40,0,384,2438,0,0,1,1,0
422,train,NSR,0,19090,197,train/NSR/19090/19090_w00197.mem,5912000,5941999,5912.000,5942.000,nsrdb,0,NSR,1,30200710,-66631837,-70542441,-91585689,43,41,0,85,1203,401,41,41,47,21,15,7,4,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,1761,85,158,46,0,0,0,0,0,43,0,0,43,0,0,41,0,41,47,1403,12,41,0,293,2503,0,0,0,0,0
424,train,NSR,0,19090,338,train/NSR/19090/19090_w00338.mem,10142000,10171999,10142.000,10172.000,nsrdb,2,ARR,1,-41115094,-64652219,-1658323,-91999169,45,38,5,83,1290,380,38,43,157,35,27,17,12,10,8,6,6,6,5,5,5,5,5,5,2,45,5,6,5,0,0,2085,81,175,66,1,3,1,0,0,45,0,0,45,6,2,43,5,43,157,1506,12,43,1162,934,2560,1111,151,28,17,11
426,train,NSR,0,19090,496,train/NSR/19090/19090_w00496.mem,14882000,14911999,14882.000,14912.000,nsrdb,0,NSR,1,-15769527,-71082847,-29830002,-81306969,39,31,6,71,1024,291,31,37,142,25,19,15,11,8,7,7,7,7,6,6,6,6,6,6,1,39,4,6,4,0,0,2085,70,128,41,0,0,0,0,0,39,0,0,39,4,1,37,6,37,142,1560,8,37,1621,982,2403,1025,0,23,15,8
428,train,NSR,0,19090,654,train/NSR/19090/19090_w00654.mem,19622000,19651999,19622.000,19652.000,nsrdb,0,NSR,1,32509633,-99220279,-42694034,-89596773,41,38,0,80,1044,341,38,39,58,26,20,8,2,2,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,1584,79,120,40,0,0,0,0,0,40,0,0,40,0,0,38,0,39,58,1274,12,38,0,380,2297,0,0,2,2,0
430,train,NSR,0,19090,811,train/NSR/19090/19090_w00811.mem,24332000,24361999,24332.000,24362.000,nsrdb,0,NSR,1,3281048,-74472264,-29203573,-98419073,37,32,3,71,1028,317,32,35,74,20,12,5,4,3,3,3,3,3,3,3,3,3,3,3,0,37,1,1,1,0,0,1684,71,141,40,0,0,0,0,0,37,0,0,37,2,0,35,3,35,74,1420,8,35,857,541,2536,270,0,8,6,2
432,train,NSR,0,19090,953,train/NSR/19090/19090_w00953.mem,28592000,28621999,28592.000,28622.000,nsrdb,0,NSR,1,36731110,-97164538,-37051017,-100469948,32,30,0,63,858,300,30,30,38,17,13,6,1,1,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,1648,63,119,32,0,0,0,0,0,32,0,0,32,0,0,30,0,30,38,1468,4,30,0,324,2560,0,0,1,1,0
434,train,NSR,0,19090,1111,train/NSR/19090/19090_w01111.mem,33332000,33361999,33332.000,33362.000,nsrdb,0,NSR,1,36329916,-109935931,-26053025,-99146054,30,28,0,59,901,280,28,28,51,23,15,8,4,1,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,1750,59,109,30,0,0,0,0,0,30,0,0,30,0,0,28,0,28,51,1492,4,28,0,466,2560,0,0,1,1,0
436,train,NSR,0,19090,1269,train/NSR/19090/19090_w01269.mem,38072000,38101999,38072.000,38102.000,nsrdb,0,NSR,1,36501335,-116285422,-18894918,-99810757,29,27,0,57,837,270,27,27,65,25,20,14,5,1,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,1624,57,87,29,0,0,0,0,0,29,0,0,29,0,0,27,0,27,65,1359,5,27,0,616,2560,0,0,1,1,0
438,train,NSR,0,19090,1426,train/NSR/19090/19090_w01426.mem,42782000,42811999,42782.000,42812.000,nsrdb,0,NSR,1,37289030,-103542886,-31470322,-100446050,31,29,0,61,877,290,29,29,52,21,15,10,4,2,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,1740,61,99,31,0,0,0,0,0,31,0,0,31,0,0,29,0,29,52,1484,5,29,0,459,2560,0,0,2,2,0
440,train,NSR,0,19090,1568,train/NSR/19090/19090_w01568.mem,47042000,47071999,47042.000,47072.000,nsrdb,0,NSR,1,48601650,-74649580,-71784594,-100528964,33,31,0,65,735,275,31,31,26,14,7,3,1,1,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,1922,65,87,33,0,0,0,0,0,33,0,0,33,0,0,31,0,31,26,1666,5,31,0,214,2270,0,0,1,1,0
442,train,NSR,0,19090,1726,train/NSR/19090/19090_w01726.mem,51782000,51811999,51782.000,51812.000,nsrdb,0,NSR,1,31809983,-66606209,-66683546,-97091580,36,34,0,71,961,336,34,34,31,17,7,4,2,1,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,2071,71,114,36,0,0,0,0,0,36,0,0,36,4,0,34,0,34,31,1765,4,34,0,233,2529,0,0,1,1,0
444,train,NSR,0,19090,1884,train/NSR/19090/19090_w01884.mem,56522000,56551999,56522.000,56552.000,nsrdb,0,NSR,1,6222011,-53269037,-46183151,-105993012,34,32,0,16,417,224,32,32,35,19,9,4,1,1,1,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,1966,16,74,34,0,0,0,0,0,34,0,0,34,0,0,32,0,32,35,1654,6,32,0,280,1792,0,0,1,1,0
446,train,NSR,0,19090,2025,train/NSR/19090/19090_w02025.mem,60752000,60781999,60752.000,60782.000,nsrdb,0,NSR,1,34018122,-106225920,-33886056,-93305313,33,31,0,65,930,310,31,31,49,26,14,6,3,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,1832,65,113,33,0,0,0,0,0,33,0,0,33,0,0,31,0,31,49,1592,5,31,0,404,2560,0,0,0,0,0
448,train,NSR,0,19090,2183,train/NSR/19090/19090_w02183.mem,65492000,65521999,65492.000,65522.000,nsrdb,0,NSR,1,35448422,-94645969,-42879268,-96594057,35,33,0,69,966,328,33,33,49,21,15,7,3,2,1,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,1563,69,131,35,0,0,0,0,0,35,0,0,35,0,0,33,0,33,49,1372,8,33,0,380,2544,0,0,2,2,0
450,train,NSR,0,19093,37,train/NSR/19093/19093_w00037.mem,1112000,1141999,1112.000,1142.000,nsrdb,0,NSR,1,10630223,-89787152,-28640204,-89764459,34,28,4,63,1239,527,28,32,166,28,24,21,18,14,14,11,7,5,4,4,4,4,4,4,0,34,2,20,2,0,0,1811,63,246,64,0,0,0,0,0,34,0,0,34,0,0,32,4,32,166,1522,12,32,1250,1328,4818,588,0,22,18,4
452,train,NSR,0,19093,204,train/NSR/19093/19093_w00204.mem,6122000,6151999,6122.000,6152.000,nsrdb,0,NSR,1,47588913,-71261249,-65413251,-109397389,40,37,1,77,1497,703,37,38,66,19,15,12,7,4,2,2,1,1,1,1,1,0,0,0,0,40,1,7,1,0,0,1689,77,291,79,0,0,0,0,0,40,0,0,40,0,0,38,1,38,66,1337,24,38,263,444,4864,250,0,7,5,2
454,train,NSR,0,19093,355,train/NSR/19093/19093_w00355.mem,10652000,10681999,10652.000,10682.000,nsrdb,0,NSR,1,32019665,-70679067,-49048567,-111140414,33,31,0,65,1309,619,31,31,41,17,11,4,4,2,2,1,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,1944,65,234,64,0,0,0,0,0,33,0,0,33,1,0,31,0,31,41,1636,10,31,0,338,5111,0,0,2,2,0
456,train,NSR,0,19093,522,train/NSR/19093/19093_w00522.mem,15662000,15691999,15662.000,15692.000,nsrdb,0,NSR,1,30922115,-76796648,-44718314,-108880987,34,32,0,67,1411,640,32,32,40,20,12,4,2,1,1,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,1852,67,263,67,0,0,0,0,0,34,0,0,34,0,0,32,0,32,40,1612,12,32,0,320,5120,0,0,1,1,0
458,train,NSR,0,19093,689,train/NSR/19093/19093_w00689.mem,20672000,20701999,20672.000,20702.000,nsrdb,0,NSR,1,1513526,-88441568,-6405704,-104738109,31,26,3,61,1291,541,26,29,119,22,16,13,12,11,9,9,7,5,5,3,3,2,1,1,1,31,0,0,0,0,0,1275,61,236,47,0,0,0,0,0,31,0,0,31,9,1,29,3,29,119,1027,24,29,1034,1050,5326,0,0,15,15,0
460,train,NSR,0,19093,840,train/NSR/19093/19093_w00840.mem,25202000,25231999,25202.000,25232.000,nsrdb,0,NSR,1,34697302,-96108359,-32188003,-105997043,37,35,0,73,1466,729,35,35,62,26,20,10,4,2,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,1579,73,257,52,0,0,0,0,0,37,0,0,37,0,0,35,0,35,62,1351,20,35,0,453,5332,0,0,2,2,0
462,train,NSR,0,19093,1007,train/NSR/19093/19093_w01007.mem,30212000,30241999,30212.000,30242.000,nsrdb,0,NSR,1,14034424,-83095277,-23130403,-106737477,32,29,1,63,1321,607,29,30,113,26,20,15,13,9,8,7,4,3,3,2,1,1,1,0,1,32,0,0,0,0,0,1604,63,250,57,0,0,0,0,0,32,0,0,32,1,1,30,1,30,113,1304,16,30,333,964,5358,0,0,11,11,0
464,train,NSR,0,19093,1158,train/NSR/19093/19093_w01158.mem,34742000,34771999,34742.000,34772.000,nsrdb,0,NSR,1,30755030,-77234757,-41259279,-110969324,31,29,0,61,1310,609,29,29,83,20,16,14,13,8,6,2,2,2,0,0,0,0,0,0,0,31,0,0,0,0,0,1794,61,241,51,0,0,0,0,0,31,0,0,31,2,0,29,0,29,83,1522,10,29,0,732,5376,0,0,8,8,0
466,train,NSR,0,19093,1325,train/NSR/19093/19093_w01325.mem,39752000,39781999,39752.000,39782.000,nsrdb,0,NSR,1,3071081,-74565672,-19754841,-106072689,31,25,4,57,1210,518,25,29,169,24,22,22,20,19,14,11,7,5,5,4,4,4,4,4,0,31,2,23,2,0,0,1774,57,256,58,0,0,0,0,0,31,0,0,31,0,0,29,4,29,169,1483,12,29,1379,1491,5304,645,0,27,23,4
468,train,NSR,0,19093,1491,train/NSR/19093/19093_w01491.mem,44732000,44761999,44732.000,44762.000,nsrdb,0,NSR,1,4229682,-84595257,-9466896,-108474840,28,24,2,56,1121,377,24,26,121,22,18,16,12,10,7,6,6,5,5,4,3,3,2,2,2,28,0,0,0,0,0,1605,56,222,48,0,0,0,0,0,28,0,0,28,2,2,26,2,26,121,1251,16,26,769,1191,4021,0,0,14,14,0
470,train,NSR,0,19093,1643,train/NSR/19093/19093_w01643.mem,49292000,49321999,49292.000,49322.000,nsrdb,2,ARR,1,-10030066,-91999726,144520,-97010648,30,22,6,55,1176,456,22,28,144,24,16,13,10,10,10,9,8,7,7,6,6,6,6,6,0,30,2,20,2,0,0,1774,55,242,56,0,0,0,0,0,30,0,0,30,0,0,28,6,28,144,1480,10,28,2142,1316,5306,666,0,20,16,4
472,train,NSR,0,19093,1810,train/NSR/19093/19093_w01810.mem,54302000,54331999,54302.000,54332.000,nsrdb,0,NSR,1,34043529,-95541385,-26186919,-111014621,30,28,0,59,1241,560,28,28,60,21,19,11,7,2,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,1648,59,231,61,0,0,0,0,0,30,0,0,30,0,0,28,0,28,60,1294,16,28,0,548,5120,0,0,2,2,0
474,train,NSR,0,19093,1961,train/NSR/19093/19093_w01961.mem,58832000,58861999,58832.000,58862.000,nsrdb,0,NSR,1,30243125,-89955210,-28807921,-110567231,28,26,0,55,1168,520,26,26,79,23,19,14,9,6,2,2,2,2,0,0,0,0,0,0,0,28,0,0,0,0,0,1616,55,212,56,0,0,0,0,0,28,0,0,28,0,0,26,0,26,79,1340,12,26,0,777,5120,0,0,6,6,0
476,train,NSR,0,19093,2128,train/NSR/19093/19093_w02128.mem,63842000,63871999,63842.000,63872.000,nsrdb,2,ARR,1,-10009733,-93551920,-8335706,-85092785,29,21,6,53,1108,415,21,27,192,26,23,20,19,17,15,12,10,10,10,8,8,6,4,4,0,29,2,19,2,0,0,1496,53,211,54,0,0,0,0,0,29,0,0,29,0,0,27,6,27,192,1287,12,27,2222,1820,5059,689,0,27,23,4
478,train,NSR,0,19093,2294,train/NSR/19093/19093_w02294.mem,68822000,68851999,68822.000,68852.000,nsrdb,3,AFF,1,-114232865,-98504373,-29298165,34449784,59,0,57,59,1254,0,0,57,855,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,19,59,6,46,6,0,0,2689,59,550,61,0,0,0,0,0,59,0,0,59,28,19,57,57,57,855,2406,5,57,10000,3840,0,1016,0,145,133,12
480,train,NSR,0,19140,39,train/NSR/19140/19140_w00039.mem,1172000,1201999,1172.000,1202.000,nsrdb,0,NSR,1,10987298,-55099377,-67649407,-88130334,49,45,2,95,970,405,45,47,65,26,11,4,2,2,2,2,2,2,2,2,2,2,2,2,0,49,1,2,1,0,0,1991,95,144,54,0,1,0,0,0,49,0,0,49,2,0,47,2,47,65,1697,8,47,425,354,2304,204,0,6,4,2
482,train,NSR,0,19140,197,train/NSR/19140/19140_w00197.mem,5912000,5941999,5912.000,5942.000,nsrdb,0,NSR,1,45523346,-88519052,-64258542,-91935909,41,39,0,81,940,390,39,39,58,25,14,9,5,5,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,1489,81,120,41,0,0,0,0,0,41,0,0,41,0,0,39,0,39,58,1267,10,39,0,380,2560,0,0,5,5,0
484,train,NSR,0,19140,354,train/NSR/19140/19140_w00354.mem,10622000,10651999,10622.000,10652.000,nsrdb,0,NSR,1,43264489,-76455518,-77109862,-88479570,47,44,0,92,1136,453,44,45,39,20,11,4,2,2,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,1335,91,175,54,0,0,0,0,0,46,0,0,46,0,0,44,0,45,39,998,16,44,0,221,2635,0,0,2,2,0
486,train,NSR,0,19140,512,train/NSR/19140/19140_w00512.mem,15362000,15391999,15362.000,15392.000,nsrdb,0,NSR,1,35054328,-63573757,-89578224,-82272216,48,46,0,95,1142,457,46,46,36,25,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,1536,95,171,71,0,0,0,0,0,48,0,0,48,0,0,46,0,46,36,1250,12,46,0,200,2543,0,0,0,0,0
488,train,NSR,0,19140,685,train/NSR/19140/19140_w00685.mem,20552000,20581999,20552.000,20582.000,nsrdb,0,NSR,1,3257200,-43810328,-69031273,-89190004,51,47,2,99,1281,495,47,49,86,24,13,8,7,5,4,4,4,3,3,3,2,2,2,2,0,51,2,3,2,0,0,1875,97,206,58,0,0,0,0,0,51,0,0,51,2,0,49,2,49,86,1588,10,49,408,449,2696,392,0,11,7,4
490,train,NSR,0,19140,843,train/NSR/19140/19140_w00843.mem,25292000,25321999,25292.000,25322.000,nsrdb,0,NSR,1,66411265,-109966924,-64812357,-91725813,45,43,0,69,457,353,43,43,72,32,21,12,2,2,2,1,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,1468,69,107,45,0,0,0,0,0,45,0,0,45,0,0,43,0,43,72,1251,8,43,0,428,2101,0,0,2,2,0
492,train,NSR,0,19140,1000,train/NSR/19140/19140_w01000.mem,30002000,30031999,30002.000,30032.000,nsrdb,0,NSR,1,55715743,-77554367,-89706718,-89549798,44,42,0,85,658,356,42,42,35,26,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,1634,85,97,45,0,0,0,0,0,44,0,0,44,0,0,42,0,42,35,1345,8,42,0,213,2169,0,0,0,0,0
494,train,NSR,0,19140,1158,train/NSR/19140/19140_w01158.mem,34742000,34771999,34742.000,34772.000,nsrdb,0,NSR,1,38019438,-100935910,-48254153,-88384907,36,33,1,71,776,329,33,34,121,31,21,17,14,13,8,5,3,3,3,1,1,1,0,0,0,36,0,0,0,0,0,1655,71,98,38,0,0,0,0,0,36,0,0,36,0,0,34,1,34,121,1572,4,34,294,911,2552,0,0,14,14,0
496,train,NSR,0,19140,1316,train/NSR/19140/19140_w01316.mem,39482000,39511999,39482.000,39512.000,nsrdb,0,NSR,1,-11971329,-84335768,-24525323,-77641495,39,31,6,73,957,329,31,37,147,26,17,14,11,11,9,9,7,7,6,6,6,6,6,6,0,39,2,6,2,0,0,1964,73,122,43,0,0,0,0,0,39,0,0,39,4,0,37,6,37,147,1750,4,37,1621,1017,2716,512,0,21,17,4
498,train,NSR,0,19140,1473,train/NSR/19140/19140_w01473.mem,44192000,44221999,44192.000,44222.000,nsrdb,0,NSR,1,65900415,-83432088,-85313930,-96832966,42,40,0,71,534,348,40,40,52,25,15,9,2,1,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,1681,71,107,43,0,0,0,0,0,42,0,0,42,0,0,40,0,40,52,1424,8,40,0,332,2227,0,0,1,1,0
500,train,NSR,0,19140,1631,train/NSR/19140/19140_w01631.mem,48932000,48961999,48932.000,48962.000,nsrdb,0,NSR,1,33555654,-101968130,-41130020,-89454771,39,37,0,77,1007,374,37,37,63,29,17,11,4,1,1,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,1827,77,121,39,0,0,0,0,0,39,0,0,39,0,0,37,0,37,63,1722,4,37,0,435,2587,0,0,1,1,0
502,train,NSR,0,19140,1804,train/NSR/19140/19140_w01804.mem,54122000,54151999,54122.000,54152.000,nsrdb,0,NSR,1,31103082,-100937923,-43826632,-86556528,39,37,0,77,1018,368,37,37,50,29,15,4,1,1,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,1873,77,123,40,0,0,0,0,0,39,0,0,39,0,0,37,0,37,50,1735,4,37,0,345,2546,0,0,1,1,0
504,train,NSR,0,19140,1962,train/NSR/19140/19140_w01962.mem,58862000,58891999,58862.000,58892.000,nsrdb,0,NSR,1,47020092,-78479935,-75064005,-92655510,38,36,0,75,845,345,36,36,41,22,13,5,1,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,1770,75,109,38,0,0,0,0,0,38,0,0,38,0,0,36,0,36,41,1645,4,36,0,291,2453,0,0,0,0,0
506,train,NSR,0,19140,2119,train/NSR/19140/19140_w02119.mem,63572000,63601999,63572.000,63602.000,nsrdb,0,NSR,1,48405173,-106795521,-51483985,-89607822,39,37,0,77,873,366,37,37,84,30,21,14,7,4,4,2,1,1,0,0,0,0,0,0,0,39,0,0,0,0,0,1370,77,110,44,0,0,0,0,0,39,0,0,39,0,0,37,0,37,84,1131,10,37,0,581,2532,0,0,4,4,0
508,train,NSR,0,19140,2277,train/NSR/19140/19140_w02277.mem,68312000,68341999,68312.000,68342.000,nsrdb,3,AFF,1,-71855598,-147810522,7316907,8284319,55,2,50,65,888,20,2,53,771,53,53,52,52,51,51,51,51,51,51,51,51,51,51,51,17,54,1,4,1,0,0,1893,65,165,59,0,0,0,0,0,54,0,0,54,26,17,52,50,53,771,1588,4,52,9615,3724,2560,181,0,120,118,2
510,train,NSR,0,19830,37,train/NSR/19830/19830_w00037.mem,1112000,1141999,1112.000,1142.000,nsrdb,1,CHF,1,-54115416,28601719,-78556581,-97859506,54,52,0,0,46,312,52,52,19,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,1527,0,61,54,0,0,0,0,0,54,0,0,54,0,0,52,0,52,19,1185,10,52,0,93,1536,0,0,0,0,0
512,train,NSR,0,19830,219,train/NSR/19830/19830_w00219.mem,6572000,6601999,6572.000,6602.000,nsrdb,1,CHF,1,-51877054,40064271,-81478979,-107926640,57,55,0,0,277,389,55,55,21,14,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,57,1,10,0,0,1,1522,0,140,57,0,0,0,0,0,57,0,0,57,0,0,55,0,55,21,1131,12,55,0,97,1810,175,0,3,1,2
514,train,NSR,0,19830,386,train/NSR/19830/19830_w00386.mem,11582000,11611999,11582.000,11612.000,nsrdb,0,NSR,1,8660870,-32529710,-82270048,-94037336,51,49,0,31,463,375,49,49,17,14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,1735,31,121,51,0,0,0,0,0,51,0,0,51,0,0,49,0,49,17,1573,8,49,0,88,1959,0,0,0,0,0
516,train,NSR,0,19830,567,train/NSR/19830/19830_w00567.mem,17012000,17041999,17012.000,17042.000,nsrdb,1,CHF,1,-15138895,-5541081,-77648075,-102213678,53,51,0,16,334,404,51,51,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,1778,16,121,55,0,0,0,0,0,53,0,0,53,0,0,51,0,51,11,1617,8,51,0,55,2027,0,0,0,0,0
518,train,NSR,0,19830,734,train/NSR/19830/19830_w00734.mem,22022000,22051999,22022.000,22052.000,nsrdb,0,NSR,1,-9026517,-16551176,-80885105,-92468035,56,50,4,45,614,403,49,54,110,19,13,11,9,8,7,7,6,6,5,5,4,4,3,3,0,55,6,6,6,0,0,2415,41,140,69,0,0,0,0,0,55,0,0,55,5,0,54,4,54,110,1906,8,54,740,521,2105,1071,0,24,12,12
520,train,NSR,0,19830,916,train/NSR/19830/19830_w00916.mem,27482000,27511999,27482.000,27512.000,nsrdb,1,CHF,1,-30017132,7547950,-70757496,-107202430,50,47,1,6,433,371,47,48,31,12,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,50,0,0,0,0,0,1698,6,104,53,0,0,0,0,0,50,0,0,50,0,0,48,1,48,31,1561,8,48,208,165,2020,0,0,3,3,0
522,train,NSR,0,19830,1082,train/NSR/19830/19830_w01082.mem,32462000,32491999,32462.000,32492.000,nsrdb,1,CHF,1,-29560765,-805390,-66353943,-104445062,49,47,0,4,293,372,47,47,21,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,1575,4,106,49,0,0,0,0,0,49,0,0,49,0,0,47,0,47,21,1338,10,47,0,114,2026,0,0,0,0,0
524,train,NSR,0,19830,1264,train/NSR/19830/19830_w01264.mem,37922000,37951999,37922.000,37952.000,nsrdb,1,CHF,1,-42615092,7149134,-54995205,-111806437,43,41,0,0,246,302,41,41,14,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,1578,0,71,43,0,0,0,0,0,43,0,0,43,0,0,41,0,41,14,1469,6,41,0,87,1885,0,0,0,0,0
